City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
396,Howick,ZA,73.99,moderate rain,-29.4779,30.2306,Skyblu
400,Tabou,CI,81.05,moderate rain,4.423,-7.3528,hotêl doufoulougou
402,Carnarvon,AU,82.4,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
404,Pedernales,DO,80.22,clear sky,18.0384,-71.744,Hotel Costa Marina
405,Atar,MR,88.43,scattered clouds,20.5169,-13.0499,Oumou Elghoura
407,Tete,MZ,87.01,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
409,San+Pedro+De+Macoris,DO,82.4,broken clouds,18.4616,-69.2972,Apartahotel Guaraguao
413,Mecca,SA,71.08,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
417,Kulhudhuffushi,MV,81.99,overcast clouds,6.6221,73.07,Haajy Guest House 1
420,Mancio+Lima,BR,84.2,broken clouds,-7.6142,-72.8958,Hotel e Distribuidora Voyage
423,Ponte+Nova,BR,84.11,scattered clouds,-20.4164,-42.9086,Hotel Beira Rio
424,Antalaha,MG,79.05,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
430,Jizan,SA,80.6,few clouds,17.3333,42.6667,شهدان. ابوالحجر
431,Bengkulu,ID,75.81,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
436,Guane,CU,74.01,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
442,Nizamabad,IN,71.67,clear sky,18.6667,78.1167,Womens Hostel
444,San+Carlos+De+Bariloche,AR,71.6,few clouds,-41.1456,-71.3082,Hotel Patagonia
445,Maragogi,BR,83.75,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
448,Bhatkal,IN,76.87,clear sky,13.9667,74.5667,SPOT ON 61793 Chaya Residency SPOT
449,Biu,NG,82.15,clear sky,10.6129,12.1946,Emir's Palace
460,Masvingo,ZW,70.45,light rain,-20.0637,30.8277,River Side Lodge
467,Piacabucu,BR,84.6,light rain,-10.4056,-36.4344,Piaçabuçu News
471,San+Ignacio,BZ,75.2,clear sky,17.1561,-89.0714,Rainforest Haven Inn
475,Dingle,PH,71.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
479,Caetite,BR,86.83,overcast clouds,-14.0694,-42.475,Hotel Porto do Sol
482,Prado,BR,83.17,clear sky,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
489,Anloga,GH,87.8,few clouds,5.7947,0.8973,Pin Drop Hotel
491,Iralaya,HN,82.4,broken clouds,15,-83.2333,Iglesia morava renovada
492,Senanga,ZM,76.24,light rain,-16.1167,23.2667,Christopher Nasilele House
493,Santa+Vitoria+Do+Palmar,BR,84.43,few clouds,-33.5189,-53.3681,Hostel Comodoro
494,Benjamin+Aceval,PY,89.6,broken clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
495,Cockburn+Town,TC,72.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
