City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
313,Morlanwelz,50.45,4.2333,39.0,93,90,16.11,BE,overcast clouds
314,Baie-Comeau,49.2168,-68.1489,8.6,52,1,5.75,CA,clear sky
315,Lobito,-12.3481,13.5456,79.09,75,87,7.27,AO,overcast clouds
316,Ballina,-28.8667,153.5667,71.6,94,90,3.02,AU,overcast clouds
317,Norwich,52.6278,1.2983,37.99,75,20,19.57,GB,light rain
318,Urengoy,65.9667,78.3667,-29.2,82,97,8.75,RU,overcast clouds
319,Putina,-15.4667,-69.4333,51.19,56,31,7.16,PE,scattered clouds
320,Fez,34.0372,-4.9998,57.2,94,75,9.22,MA,broken clouds
321,Gamba,-2.65,10.0,80.04,83,95,10.4,GA,moderate rain
322,Bumba,2.1833,22.4667,81.93,38,26,2.71,CD,scattered clouds
323,Ewo,-0.8725,14.8206,75.11,81,100,3.6,CG,overcast clouds
324,Obo,5.3998,26.4869,81.01,18,53,5.44,CF,broken clouds
325,Chateau-Thierry,49.05,3.4,51.01,90,100,4.0,FR,overcast clouds
326,Aviles,43.5547,-5.9248,55.0,66,40,23.02,ES,light rain
327,Sirjan,29.452,55.6814,51.17,50,1,11.41,IR,clear sky
328,Siwana,25.6333,72.4167,56.28,34,0,0.51,IN,clear sky
329,Puteyets,65.1716,57.091,-5.58,90,100,13.49,RU,overcast clouds
330,Jiblah,13.9216,44.1467,59.76,80,29,1.68,YE,scattered clouds
331,Ponnani,10.767,75.9252,80.6,65,20,4.85,IN,haze
332,Junin,-34.5838,-60.9433,66.99,41,100,15.01,AR,overcast clouds
333,Tallahassee,30.4383,-84.2807,61.0,44,75,11.5,US,broken clouds
334,Agirish,61.9247,63.0231,-9.0,91,100,4.05,RU,overcast clouds
335,Beloha,-25.1667,45.05,81.7,61,55,5.97,MG,broken clouds
336,Awbari,26.5921,12.7805,61.72,31,0,4.83,LY,clear sky
337,Kakamega,0.2842,34.7523,71.6,35,75,9.22,KE,broken clouds
338,Ubala,4.7478,-72.5369,96.28,26,2,12.3,CO,clear sky
339,Ploemeur,47.7333,-3.4333,51.8,93,90,23.02,FR,mist
340,Salinas,36.6777,-121.6555,50.0,76,90,14.97,US,overcast clouds
341,Sur,22.5667,59.5289,67.6,57,0,9.82,OM,clear sky
